Id,colony,image,area,xcoord,ycoord,b_pres
0,Atka Bay,2024-05-24-09-59-25_UMBRA-07_GEC.tif,277.7929669,-8.15683739,-70.61755689,yes
0,Atka Bay,2024-05-24-09-59-25_UMBRA-07_GEC.tif,345.5828672,-8.15677512,-70.61731485,yes
0,Atka Bay,2024-05-24-09-59-25_UMBRA-07_GEC.tif,81.6211154,-8.15676913,-70.61711828,yes
0,Atka Bay,2024-05-24-09-59-25_UMBRA-07_GEC.tif,85.61936463,-8.15611645,-70.61654345,yes
0,Atka Bay,2024-05-24-09-59-25_UMBRA-07_GEC.tif,42.20729151,-8.15606265,-70.61664708,yes
0,Atka Bay,2024-05-24-09-59-25_UMBRA-07_GEC.tif,39.43829082,-8.15652065,-70.61661553,yes
0,Atka Bay,2024-05-24-09-59-25_UMBRA-07_GEC.tif,100.948816,-8.15697084,-70.6056268,yes
0,Atka Bay,2024-05-24-09-59-25_UMBRA-07_GEC.tif,212.7050283,-8.14930838,-70.60021299,yes
0,Atka Bay,2024-05-24-09-59-25_UMBRA-07_GEC.tif,14.16597391,-8.14952643,-70.60038915,yes
0,Atka Bay,2024-06-07-09-24-36_UMBRA-04_GEC.tif,204.4128209,-8.14701395,-70.59983337,yes
0,Atka Bay,2024-06-07-09-24-36_UMBRA-04_GEC.tif,90.53438257,-8.14745721,-70.60009345,yes
0,Atka Bay,2024-06-07-09-24-36_UMBRA-04_GEC.tif,33.19822472,-8.14832142,-70.60021722,yes
0,Atka Bay,2024-06-07-09-24-36_UMBRA-04_GEC.tif,104.7302103,-8.14747969,-70.6003396,yes
0,Atka Bay,2024-06-07-09-24-36_UMBRA-04_GEC.tif,105.4402126,-8.15714225,-70.61808836,yes
0,Atka Bay,2024-06-07-09-24-36_UMBRA-04_GEC.tif,59.83980423,-8.15611403,-70.61816965,yes
0,Atka Bay,2024-06-07-09-24-36_UMBRA-04_GEC.tif,158.4730704,-8.15579359,-70.6181941,yes
0,Atka Bay,2024-06-07-09-24-36_UMBRA-04_GEC.tif,358.1422506,-8.15591654,-70.61846209,yes
0,Atka Bay,2024-06-07-09-24-36_UMBRA-04_GEC.tif,171.8640583,-8.15502533,-70.61826644,yes
0,Atka Bay,2024-06-07-09-24-36_UMBRA-04_GEC.tif,138.5421941,-8.15475871,-70.61846677,yes
0,Atka Bay,2024-06-07-09-24-36_UMBRA-04_GEC.tif,68.23120165,-8.15394342,-70.61828305,yes
0,Atka Bay,2024-06-07-09-24-36_UMBRA-04_GEC.tif,123.8327044,-8.15965495,-70.6220966,yes
0,Atka Bay,2024-06-07-09-24-36_UMBRA-04_GEC.tif,127.2603542,-8.15970948,-70.61910269,yes
0,Atka Bay,2024-06-07-09-24-36_UMBRA-04_GEC.tif,279.117814,-8.16003376,-70.61955224,yes
0,Atka Bay,2024-06-07-09-24-36_UMBRA-04_GEC.tif,198.8535747,-8.1608532,-70.62125614,yes
0,Atka Bay,2024-06-19-22-51-44_UMBRA-05_GEC.tif,277.5465639,-8.14799593,-70.59877525,yes
0,Atka Bay,2024-06-19-22-51-44_UMBRA-05_GEC.tif,215.9089458,-8.15739271,-70.61764645,yes
0,Atka Bay,2024-06-19-22-51-44_UMBRA-05_GEC.tif,86.85083853,-8.15698304,-70.61835672,yes
0,Atka Bay,2024-06-19-22-51-44_UMBRA-05_GEC.tif,669.1267787,-8.15786736,-70.61847699,yes
0,Atka Bay,2024-06-19-22-51-44_UMBRA-05_GEC.tif,101.260782,-8.15904904,-70.62013098,yes
0,Atka Bay,2024-07-12-22-45-13_UMBRA-05_GEC.tif,174.0372817,-8.14359594,-70.59651002,yes
0,Atka Bay,2024-07-12-22-45-13_UMBRA-05_GEC.tif,53.38522242,-8.14445887,-70.59647335,yes
0,Atka Bay,2024-07-12-22-45-13_UMBRA-05_GEC.tif,278.5498916,-8.15574026,-70.61659319,yes
0,Atka Bay,2024-07-12-22-45-13_UMBRA-05_GEC.tif,544.9284768,-8.1552124,-70.61640264,yes
0,Atka Bay,2024-08-07-00-53-58_UMBRA-07_GEC.tif,225.3104013,-8.14126922,-70.59324901,yes
0,Atka Bay,2024-08-07-00-53-58_UMBRA-07_GEC.tif,205.0196469,-8.15051261,-70.60053187,yes
